id,keyword,text
10415,whirlwind,???? throwback Thurs ?? ????  Will You Still Love Me Tomorrow http://t.co/wmoyibWEc1 ??   @LucyMayOfficial  ?? ?? #Whirlwind http://t.co/0rsverLzTm
1990,bush%20fires,28 Oct 1895: 'Bush Fires.' http://t.co/zCKXtFc9PT
6870,mass%20murder,@guardian Has Japan ever truly come to terms with devastation and mass murder of millions of Chinese and others with traditional weapons?
884,bioterrorism,Firepower in the lab [electronic resource] : automation in the fight against infectious diseases and bioterrorism /Û_ http://t.co/KvpbybglSR
4516,emergency,@newyorkcity for the #international emergency medicine conference w/ Lennox Hill hospital and #drjustinmazur
2821,cyclone,"SEVERE WEATHER BULLETIN No. 5
FOR: TYPHOON ÛÏ#HannaPHÛ (SOUDELOR)
TROPICAL CYCLONE: WARNING

ISSUED AT 5:00 PM 06... http://t.co/qHwE5K7xUW"
9822,trauma,Hiroshima: They told me to paint my story: Eighty-nine year old man recalls the terror and the trauma when the... http://t.co/spE7U8t40K
4614,emergency%20services,Brooklyn locksmith: domesticate emergency mechanic services circa the clock movement!: gba http://t.co/1Q6ccFfzV6
9146,suicide%20bomber,Suicide bomber kills 15 in Saudi security site mosque http://t.co/AxhcLfErSU
7147,mudslide,'It looks like a mudslide!' And #GBBO is back with a belter!
9416,survivors,Breaking news: Haunting memories drawn by survivors http://t.co/PCjBvrs7xw
8284,rioting,@BLutz10 But the rioting began prior to the decision for the indictment so you're not really making sense at this pointÛ_
10366,weapons,#Battlefield 1942 forgotten hope secret weapons
9067,structural%20failure,NTSB: Virgin Galactic's SpaceshipTwo crash due to structural failure when braking system unlocked early http://t.co/EYSbLYX6L6 via @KPCC @AP
2074,casualty,WANTED: gritty and real casualty photos of Pasta Thursdays at Amico's. Tag us or #amicospizzato #seeyouatamicos... http://t.co/MZ8VQXbKTs
2423,collide,Soultech - Collide (Club Mix) http://t.co/8xIxBsPOT8
7306,nuclear%20reactor,US Navy Sidelines 3 Newest Subs - http://t.co/guvTIzyCHE: DefenseNews.comUS Navy Sidelines 3 Newest SubsD... http://t.co/SY2WhXT0K5 #navy
6452,injured,@chikislizeth08 you're not injured anymore? ??
6828,loud%20bang,I WAS PEACEFULLY SITTING IN MY ROOM AND I HEARD THIS LOUD BANG OF SOMETHING FALLING
9491,terrorism,Cross-border terrorism: Pakistan caught red-handed again - The Times of India http://t.co/uiqsfgZoOx
3142,debris,Malaysia confirms Reunion Island debris is from MH370 http://t.co/1bEeGWRsis @SCMP_News http://t.co/drcuLIYp0T
10466,wild%20fires,Firefighters from Connecticut are headed to California to fight wild fires http://t.co/QWpUxPyWbF http://t.co/8jlXZ6fkxy
10644,wounds,We would become the mirrors that reflected each other's most private wounds and desires.
6980,massacre,@gigagil IOF murdered over 513 Palestinian children (70% under 12) during Gaza Massacre where was zionist morality-zionism is a world evil!
7653,panic,@JetixRestored Here's Part 2 Of Teamo Supremo Pogo Panic! I Want You Make It Better! OK! :) https://t.co/wBLiMlMT2x via @YouTube
5764,forest%20fires,A group of Florida Forest Service firefighters could be deployed to California to help contain fires. Details at 10! http://t.co/fwuP9YURzY
5734,forest%20fire,How is it one careless match can start a forest fire but it takes a whole box to start a campfire
8009,refugees,This just-married Turkish couple gave 4000 Syrian refugees an incredible gift http://t.co/ibeD3xG7fy Fed them instead of family &amp; friends.
283,ambulance,http://t.co/FueRk0gWui Twelve feared killed in Pakistani air ambulance helicopter crash http://t.co/Mv7GgGlmVc
4593,emergency%20plan,The Municipal Emergency Plan is now in effect. Stay safe everyone! #abstorm #yyc http://t.co/14CIcptKNa
1722,buildings%20burning,'i'm a Gemini' *children screaming buildings burning police sirens in the distance*
5439,first%20responders,US wants future first responders to be more high-tech - http://t.co/1VI2RNbK2i
8916,snowstorm,"ÛÏ@LordBrathwaite: Everyone Here: Ahh I hate snow!

Me: Lol u call this a snowstorm..?

#growingupincoloradoÛ"
8693,sinking,After a Few Years Afloat Pension Plans Start Sinking Again http://t.co/4cEEuzWHvf
10434,whirlwind,WIN: Lisowski whitewashes the Whirlwind 5-0 in round 2 of Shanghai Masters Quals! |  http://t.co/MLigPUHVOh #snooker http://t.co/TcS2Cd5y6y
902,bioterrorism,Government Experts Concerned About Possible Bioterrorism Using GM Organisms: Scientists are concerned that the... http://t.co/SuMe5prO0F
4244,drowned,HOPE THE DROWNED @eeasterling_2
1633,bombing,The cryptic words that guided pilots on the Hiroshima bombing mission http://t.co/FCe0K1Ihti
3626,desolation,yeah 1:57  |  Lamb Of God - Rock Am Ring 2015 - Intro+Desolation HD https://t.co/lEM5Z1NFk3 via @YouTube
5278,fear,"The Opposite of Love is Fear HereÛªs Why
http://t.co/r5bXZzhXkm"
4055,displaced,@lizhphoto When I have so much shit going on in my head I'd rather talk about it than have an outburst.. Displaced aggression SUX!!
7054,meltdown,One of these candidates is going to have a Frank Grimes level meltdown with how voters love Trump no matter what. http://t.co/pBEgOf4740
4682,engulfed,Fully Engulfed Garage Fire: Propane Tanks Inside. Sunnymeade Dr.
926,bioterrorism,The Threat | Anthrax | CDC http://t.co/q6oxzq45VE via @CDCgov
6268,hijacking,@USAgov Koreans are performing hijacking of the Tokyo Olympic Games.https://t.co/APkSnpLXZj
9290,sunk,The Seven Seas - Wreck of the Giannis D. sunk after hitting a submerged reef in theÛ_ http://t.co/Gn3WHNSFIb http://t.co/fWpOF5TwoC
7348,obliterate,The  People's  Republic  Of  China  (  PROC  ): Abandon the West Philippine Sea and all the ... https://t.co/pD14GsrfSC via @ChangePilipinas
4432,electrocute,@Omar_molina036 @Milioooo_ he's trying to electrocute ya ass lol hell no I ain't fucking with Emilio no more ????????
6525,injuries,All injuries Pre Foster/Floyd. Those will be covered next week. https://t.co/zRZEjPEF5j
2189,catastrophic,Learning from the Legacy of a Catastrophic Eruption http://t.co/PgXfocgHqg via @newyorker
5909,harm,@VileLunar I trickshot with a regular controller fucking infinite fading is so harm &gt;:(
6721,lava,I lava you ?????? http://t.co/aeZ3aK1lRN
3093,deaths,"Cancers equate for around 25% of all deaths in #Blackpool. 

Kowing the signs could save your life: http://t.co/11dVqjVXPo
#BeClearOnCancer"
2941,danger,"Guns are for protection.. 
That shit really shouldn't be used unless your life in danger"
4218,drowned,Migrants drown at sea after boat capsizes off #Libya http://t.co/t4pv0nrOoV http://t.co/PSeYLYzck4
10283,war%20zone,THIS IS A ONE DIRECTION CONCERT NOT A WAR ZONE WHAT IS THIS #OTRAMETLIFE http://t.co/PtY9HRCUZH
906,bioterrorism,70 won 70...&amp; some think possibility of my full transformation is impossible.  I don't quite like medical mysteries. BIOTERRORISM sucks.
961,blaze,#socialmedia news - New Facebook Page Features Seek to Help Personalize the Customer Experience http://t.co/nbizaTlsmV
9563,thunder,The worst part is seeing lightning and trying to guess when the thunder will crack
7502,oil%20spill,'California: Spring Oil Spill Estimate Grows ' by THE ASSOCIATED PRESS via NYT http://t.co/6Cx46E7QB7
